frame,timestamp,num_persons_visible,backpack_id,backpack_state,event,backpack_confidence,backpack_from_memory,backpack_x1,backpack_y1,backpack_x2,backpack_y2,backpack_roi_overlap_pct,roi_value,wrist_inside_roi,backpack_inside_roi,owner_person_id
144,4.800,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
145,4.833,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
145,4.833,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
146,4.867,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
146,4.867,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
147,4.900,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
147,4.900,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
148,4.933,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
148,4.933,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
149,4.967,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
149,4.967,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
150,5.000,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
150,5.000,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
151,5.033,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
151,5.033,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
152,5.067,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
152,5.067,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
153,5.100,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
153,5.100,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
154,5.133,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
154,5.133,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
155,5.167,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
155,5.167,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
156,5.200,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
156,5.200,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
157,5.233,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
157,5.233,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
158,5.267,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
158,5.267,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
159,5.300,0,1,PERSON LEAVES,,,False,,,,,0.0,100.0,False,False,2
159,5.300,0,2,PLACED,,,False,,,,,0.0,100.0,False,False,
